kind,scenario_id,method,metric,n,bootstrap_ci_method,bootstrap_ci_lower,bootstrap_ci_upper
feasible,low-risk-public-tool,canonical_first_safe,contract_sign_verify_gate_time_ns,30,percentile,97930943.0,102199929.5
feasible,low-risk-public-tool,canonical_first_safe,task_request_response_time_ns,30,percentile,494886.5,519210.5
feasible,low-risk-public-tool,canonical_first_safe,process_cpu_time_ns,30,percentile,347769040.0,356386054.0
feasible,low-risk-public-tool,canonical_first_safe,peak_rss_kib,30,percentile,80432.0,80770.0
feasible,low-risk-public-tool,canonical_first_safe,context_switches,30,percentile,141.0,146.0
feasible,low-risk-public-tool,canonical_first_safe,contract_size_bytes,30,percentile,11261.0,11261.0
feasible,low-risk-public-tool,canonical_first_safe,total_protocol_bytes,30,percentile,12169.0,12169.0
feasible,low-risk-public-tool,initiator_minimum_cost,total_session_wall_time_ns,30,percentile,441254154.5,454947710.0
feasible,low-risk-public-tool,initiator_minimum_cost,tls_handshake_time_ns,30,percentile,10300264.0,10552748.0
feasible,low-risk-public-tool,initiator_minimum_cost,negotiation_selection_time_ns,30,percentile,308838306.5,319471320.5
feasible,low-risk-public-tool,initiator_minimum_cost,contract_sign_verify_gate_time_ns,30,percentile,99457100.0,102035785.0
feasible,low-risk-public-tool,initiator_minimum_cost,task_request_response_time_ns,30,percentile,500514.5,529787.5
feasible,low-risk-public-tool,initiator_minimum_cost,process_cpu_time_ns,30,percentile,348772708.0,358199765.5
feasible,low-risk-public-tool,initiator_minimum_cost,peak_rss_kib,30,percentile,80440.0,80772.0
feasible,low-risk-public-tool,initiator_minimum_cost,context_switches,30,percentile,143.5,149.0
feasible,low-risk-public-tool,initiator_minimum_cost,contract_size_bytes,30,percentile,11261.0,11261.0
feasible,low-risk-public-tool,initiator_minimum_cost,total_protocol_bytes,30,percentile,12169.0,12169.0
feasible,low-risk-public-tool,minimum_total_cost,total_session_wall_time_ns,30,percentile,442115370.0,450601327.0
feasible,low-risk-public-tool,minimum_total_cost,tls_handshake_time_ns,30,percentile,10299252.0,10511343.5
feasible,low-risk-public-tool,minimum_total_cost,negotiation_selection_time_ns,30,percentile,310794733.5,319148622.0
feasible,low-risk-public-tool,minimum_total_cost,contract_sign_verify_gate_time_ns,30,percentile,97820482.5,101832388.5
feasible,low-risk-public-tool,minimum_total_cost,task_request_response_time_ns,30,percentile,485305.5,518186.0
feasible,low-risk-public-tool,minimum_total_cost,process_cpu_time_ns,30,percentile,349299704.5,358217900.5
feasible,low-risk-public-tool,minimum_total_cost,peak_rss_kib,30,percentile,80438.0,80768.0
feasible,low-risk-public-tool,minimum_total_cost,context_switches,30,percentile,145.0,150.0
feasible,low-risk-public-tool,minimum_total_cost,contract_size_bytes,30,percentile,11261.0,11261.0
feasible,low-risk-public-tool,minimum_total_cost,total_protocol_bytes,30,percentile,12169.0,12169.0
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,total_session_wall_time_ns,30,percentile,427886003.5,436652211.0
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,tls_handshake_time_ns,30,percentile,10237739.0,10403487.0
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,negotiation_selection_time_ns,30,percentile,294716255.5,304472609.5
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,contract_sign_verify_gate_time_ns,30,percentile,99677397.5,101488848.0
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,task_request_response_time_ns,30,percentile,502959.5,518980.5
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,process_cpu_time_ns,30,percentile,335102919.5,342699397.5
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,peak_rss_kib,30,percentile,80464.0,80812.0
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,context_switches,30,percentile,140.0,147.5
feasible,low-risk-quantum-ready-tool,bilateral_minimax_regret,contract_size_bytes,30,percentile,11294.0,11294.0
